file_path,source_folder,expected_label,predicted_label,predicted_label_ko,is_correct,confidence,confidence_level,classification_margin,is_borderline,second_candidate,second_score,error_code,message,ratio_face_height_px,ratio_face_width_px,ratio_face_length_width_ratio,ratio_forehead_width_px,ratio_cheekbone_width_px,ratio_jaw_width_px,ratio_forehead_to_cheekbone_ratio,ratio_jaw_to_cheekbone_ratio,ratio_jaw_angle_width_px,ratio_jaw_angle_width_to_cheekbone_ratio,ratio_chin_to_jaw_depth_px,ratio_chin_to_jaw_depth_to_face_height_ratio,ratio_lower_face_height_px,ratio_lower_face_height_to_face_height_ratio,ratio_eye_outer_width_px,ratio_eye_inner_distance_px,ratio_eye_outer_width_to_face_width_ratio,ratio_eye_inner_distance_to_face_width_ratio,ratio_lower_jaw_width_px,ratio_lower_jaw_width_to_cheekbone_ratio,ratio_jaw_taper_ratio,ratio_forehead_to_jaw_ratio,ratio_forehead_to_lower_jaw_ratio,ratio_jaw_to_face_width_ratio,ratio_lower_jaw_to_face_width_ratio,ratio_chin_sharpness_ratio,ratio_nose_length_px,ratio_nose_length_to_face_height_ratio,ratio_mouth_width_px,ratio_mouth_height_px,ratio_mouth_width_to_face_width_ratio,ratio_nose_center_offset_x_px,ratio_midface_height_ratio,ratio_philtrum_to_chin_ratio,ratio_temple_to_cheekbone_ratio,ratio_gonial_angle_proxy,ratio_jawline_curvature_index,ratio_cheekbone_peak_y_ratio,ratio_jaw_slope_angle,ratio_intercanthal_to_face_width,ratio_facial_asymmetry_index,score_round,score_oval,score_long,score_square,score_heart,quality_quality_score,quality_quality_status,quality_is_acceptable,quality_frontal_score,quality_eye_level_score,quality_face_center_offset_x_ratio,quality_eye_level_diff_to_face_width_ratio
sampleimg/Heart/heart (17).jpg,Heart,heart,heart,하트형,True,0.4428,high,0.1861,False,round,0.2567,,,287.09,246.0,1.167,187.01,246.0,189.02,0.7602,0.7684,189.02,0.7684,64.5,0.2247,115.0,0.4006,164.03,65.03,0.6668,0.2644,131.03,0.5327,0.6932,0.9893,1.4272,0.7684,0.5327,0.4922,83.01,0.2891,100.12,1.0,0.407,11.0,0.3135,0.2852,0.9025,142.13,0.107,0.4145,143.75,0.2644,0.0813,0.2567,0.2437,0.0139,0.0429,0.4428,0.7155,good,True,0.6275,0.8475,0.0447,0.0122
sampleimg/Heart/heart (938).jpg,Heart,heart,heart,하트형,True,0.6465,high,0.467,False,long,0.1794,,,174.18,141.0,1.2353,103.08,141.0,106.02,0.731,0.7519,106.02,0.7519,42.0,0.2411,76.0,0.4363,90.01,37.01,0.6383,0.2625,74.11,0.5256,0.699,0.9723,1.3909,0.7519,0.5256,0.5667,46.27,0.2656,62.13,11.0,0.4406,30.5,0.2929,0.2009,0.8728,139.9,0.1168,0.4019,148.54,0.2625,0.3617,0.0002,0.1738,0.1794,0.0001,0.6465,0.3645,low,False,0.0,0.9113,0.2163,0.0071
sampleimg/Heart/heart (869).jpg,Heart,heart,square,사각형,False,0.3225,low,0.0226,True,round,0.2999,,,203.3,176.1,1.1544,132.14,176.1,139.01,0.7503,0.7894,139.01,0.7894,49.0,0.241,76.0,0.3738,114.11,42.01,0.648,0.2386,96.01,0.5452,0.6906,0.9505,1.3763,0.7894,0.5452,0.5104,62.0,0.305,62.01,0.0,0.3521,13.0,0.3248,0.3409,0.8867,135.99,0.1286,0.3689,146.31,0.2386,0.1476,0.2999,0.1866,0.0185,0.3225,0.1726,0.489,warning,True,0.385,0.645,0.0738,0.0284
sampleimg/Heart/heart (111).jpg,Heart,heart,oval,계란형 또는 일반형,False,0.4682,medium,0.1204,False,heart,0.3478,,,974.43,794.53,1.2264,583.25,794.53,624.67,0.7341,0.7862,624.67,0.7862,211.5,0.217,403.0,0.4136,537.37,208.24,0.6763,0.2621,421.47,0.5305,0.6747,0.9337,1.3838,0.7862,0.5305,0.5018,272.59,0.2797,421.38,72.06,0.5304,43.0,0.3051,0.1788,0.8688,136.3,0.1181,0.4392,149.84,0.2621,0.0629,0.0431,0.4682,0.1094,0.0316,0.3478,0.6035,warning,True,0.5492,0.685,0.0541,0.0252
sampleimg/Heart/heart (698).jpg,Heart,heart,heart,하트형,True,0.3673,medium,0.111,False,round,0.2563,,,171.66,153.39,1.1191,117.27,153.39,121.26,0.7645,0.7905,121.26,0.7905,43.0,0.2505,64.0,0.3728,99.25,39.12,0.647,0.255,82.22,0.536,0.678,0.9671,1.4263,0.7905,0.536,0.523,51.24,0.2985,72.25,8.06,0.471,4.5,0.3159,0.1768,0.8955,138.89,0.1249,0.3495,139.99,0.255,0.0065,0.2563,0.1728,0.0026,0.2011,0.3673,0.6255,warning,True,0.7558,0.43,0.0293,0.0456
sampleimg/Heart/heart (956).jpg,Heart,heart,heart,하트형,True,0.5461,high,0.3584,False,round,0.1877,,,284.38,253.95,1.1198,194.83,253.95,196.65,0.7672,0.7744,196.65,0.7744,71.0,0.2497,114.0,0.4009,169.58,65.62,0.6678,0.2584,138.44,0.5451,0.704,0.9908,1.4074,0.7744,0.5451,0.5129,81.3,0.2859,106.23,15.13,0.4183,0.5,0.3072,0.1988,0.9016,142.45,0.0955,0.4255,148.05,0.2584,0.0512,0.1877,0.1658,0.0039,0.0965,0.5461,0.7145,good,True,0.9833,0.3113,0.002,0.0551
sampleimg/Heart/heart (978).jpg,Heart,heart,oval,계란형 또는 일반형,False,0.5872,high,0.3315,False,heart,0.2557,,,252.2,209.15,1.2058,158.11,209.15,158.08,0.756,0.7558,158.08,0.7558,55.5,0.2201,95.0,0.3767,136.09,53.04,0.6507,0.2536,108.07,0.5167,0.6837,1.0002,1.463,0.7558,0.5167,0.5135,76.06,0.3016,103.04,18.03,0.4927,0.5,0.3214,0.1579,0.8947,139.94,0.1205,0.4005,143.37,0.2536,0.0239,0.0626,0.5872,0.0804,0.0141,0.2557,0.8685,good,True,0.98,0.7012,0.0024,0.0239
sampleimg/Heart/heart (316).jpg,Heart,heart,,,False,,,,,,,MULTIPLE_FACES_DETECTED,여러 명의 얼굴이 감지되었습니다. 한 명의 얼굴만 포함된 이미지를 사용해주세요.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sampleimg/Heart/heart (370).jpg,Heart,heart,heart,하트형,True,0.5498,high,0.1974,False,oval,0.3524,,,88.07,73.55,1.1975,50.99,73.55,56.09,0.6933,0.7626,56.09,0.7626,18.5,0.2101,42.0,0.4769,45.89,17.46,0.624,0.2375,39.05,0.531,0.6962,0.9091,1.3057,0.7626,0.531,0.4737,21.84,0.248,32.76,8.06,0.4454,7.0,0.2919,0.2203,0.8453,138.56,0.091,0.5109,159.62,0.2375,0.0272,0.0541,0.3524,0.0429,0.0009,0.5498,0.124,low,False,0.2067,0.0,0.0952,0.1224
sampleimg/Heart/heart (680).jpg,Heart,heart,heart,하트형,True,0.594,high,0.3784,False,oval,0.2156,,,289.56,242.25,1.1953,180.14,242.25,189.13,0.7436,0.7807,189.13,0.7807,73.5,0.2538,117.0,0.4041,170.11,64.03,0.7022,0.2643,133.09,0.5494,0.7037,0.9524,1.3535,0.7807,0.5494,0.5522,84.1,0.2904,98.33,13.0,0.4059,3.0,0.3113,0.2508,0.8799,140.73,0.1279,0.3626,140.38,0.2643,0.0578,0.0098,0.2156,0.1719,0.0086,0.594,0.814,good,True,0.8967,0.69,0.0124,0.0248
sampleimg/Heart/heart (987).jpg,Heart,heart,square,사각형,False,0.3904,medium,0.1158,False,round,0.2746,,,171.0,144.0,1.1875,102.02,144.0,116.0,0.7085,0.8056,116.0,0.8056,34.5,0.2018,81.0,0.4737,95.0,39.01,0.6597,0.2709,82.01,0.5695,0.7069,0.8794,1.244,0.8056,0.5695,0.4207,42.11,0.2462,55.08,9.0,0.3825,13.0,0.2926,0.2585,0.8543,132.95,0.1233,0.4386,152.39,0.2709,0.1389,0.2746,0.1387,0.0157,0.3904,0.1807,0.5485,warning,True,0.2475,1.0,0.0903,0.0
sampleimg/Heart/heart (76).jpg,Heart,heart,heart,하트형,True,0.5121,medium,0.0544,False,long,0.4577,,,180.22,146.28,1.2321,111.04,146.28,113.86,0.7591,0.7784,113.86,0.7784,50.0,0.2774,67.0,0.3718,100.32,36.22,0.6858,0.2476,77.78,0.5317,0.6831,0.9752,1.4276,0.7784,0.5317,0.6428,55.73,0.3092,51.04,0.0,0.3489,49.0,0.322,0.298,0.8962,161.15,0.1083,0.3218,119.31,0.2476,0.5469,0.001,0.0292,0.4577,0.0,0.5121,0.1265,low,False,0.0,0.3163,0.335,0.0547
sampleimg/Heart/heart (473).jpg,Heart,heart,heart,하트형,True,0.7658,high,0.631,False,oval,0.1348,,,298.14,247.03,1.2069,186.01,247.03,190.01,0.753,0.7692,190.01,0.7692,72.0,0.2415,129.0,0.4327,163.0,66.01,0.6598,0.2672,136.01,0.5506,0.7158,0.9789,1.3676,0.7692,0.5506,0.5294,81.01,0.2717,101.6,16.0,0.4113,5.5,0.2986,0.2303,0.8947,141.83,0.1153,0.3991,142.46,0.2672,0.0526,0.0042,0.1348,0.0915,0.0037,0.7658,0.8885,good,True,0.8142,1.0,0.0223,0.0
sampleimg/Heart/heart (492).jpg,Heart,heart,heart,하트형,True,0.4139,medium,0.0522,False,oval,0.3617,,,323.15,266.05,1.2147,201.02,266.05,206.04,0.7556,0.7744,206.04,0.7744,75.0,0.2321,122.0,0.3775,181.07,74.03,0.6806,0.2782,141.03,0.5301,0.6845,0.9757,1.4254,0.7744,0.5301,0.5318,98.18,0.3038,97.02,1.0,0.3647,16.0,0.3313,0.3145,0.8909,138.66,0.135,0.3899,141.27,0.2782,0.0752,0.0462,0.3617,0.1625,0.0157,0.4139,0.6055,warning,True,0.4992,0.765,0.0601,0.0188
sampleimg/Heart/heart (67).jpg,Heart,heart,square,사각형,False,0.5515,high,0.1569,False,round,0.3946,,,162.31,142.23,1.1412,103.17,142.23,114.16,0.7254,0.8027,114.16,0.8027,34.0,0.2095,65.0,0.4005,94.13,36.0,0.6619,0.2531,78.16,0.5496,0.6847,0.9038,1.32,0.8027,0.5496,0.435,45.18,0.2783,49.01,0.0,0.3446,5.0,0.309,0.3074,0.8662,134.08,0.1358,0.3882,145.08,0.2531,0.0141,0.3946,0.0423,0.0009,0.5515,0.0106,0.648,warning,True,0.7067,0.56,0.0352,0.0352
sampleimg/Heart/heart (990).jpg,Heart,heart,heart,하트형,True,0.5054,medium,0.0987,False,long,0.4067,,,207.17,170.04,1.2184,128.86,170.04,130.86,0.7578,0.7696,130.86,0.7696,56.0,0.2703,77.0,0.3717,111.99,41.59,0.6586,0.2446,91.92,0.5406,0.7024,0.9847,1.4018,0.7696,0.5406,0.6092,61.4,0.2964,73.55,0.0,0.4325,15.5,0.3182,0.241,0.895,142.09,0.1518,0.2703,133.69,0.2446,0.2646,0.0003,0.087,0.4067,0.0007,0.5054,0.144,low,False,0.24,0.0,0.0912,0.1235
sampleimg/Heart/heart (831).jpg,Heart,heart,round,둥근형,False,0.4751,high,0.2513,False,oval,0.2237,,,156.08,136.06,1.1472,102.02,136.06,106.04,0.7498,0.7794,106.04,0.7794,38.5,0.2467,56.0,0.3588,90.02,34.0,0.6616,0.2499,73.03,0.5367,0.6887,0.9621,1.397,0.7794,0.5367,0.5272,49.04,0.3142,49.09,0.0,0.3608,4.0,0.3332,0.2967,0.8894,141.09,0.1208,0.3652,141.34,0.2499,0.0294,0.4751,0.2237,0.0268,0.0917,0.1827,0.7795,good,True,0.755,0.8163,0.0294,0.0147
sampleimg/Heart/heart (591).jpg,Heart,heart,heart,하트형,True,0.8534,high,0.7347,False,oval,0.1187,,,140.8,122.41,1.1503,94.43,122.41,93.19,0.7714,0.7613,93.19,0.7613,36.0,0.2557,53.0,0.3764,84.21,31.06,0.688,0.2538,64.07,0.5234,0.6875,1.0133,1.4738,0.7613,0.5234,0.5619,43.01,0.3055,47.27,2.0,0.3861,10.0,0.3274,0.2475,0.9105,139.68,0.1243,0.3409,142.05,0.2538,0.1797,0.0173,0.1187,0.0078,0.0028,0.8534,0.3465,low,False,0.3192,0.3875,0.0817,0.049
sampleimg/Heart/heart (985).jpg,Heart,heart,square,사각형,False,0.6467,high,0.4859,False,round,0.1607,,,167.3,141.29,1.1841,103.31,141.29,113.11,0.7312,0.8006,113.11,0.8006,35.5,0.2122,74.0,0.4423,91.27,37.05,0.646,0.2623,81.02,0.5735,0.7163,0.9134,1.275,0.8006,0.5735,0.4381,44.0,0.263,51.0,0.0,0.361,11.5,0.2931,0.3069,0.8658,137.41,0.114,0.4543,147.09,0.2623,0.1628,0.1607,0.1253,0.0168,0.6467,0.0506,0.3455,low,False,0.3217,0.3812,0.0814,0.0495
sampleimg/Heart/heart (821).jpg,Heart,heart,heart,하트형,True,0.4689,medium,0.1203,False,long,0.3486,,,883.91,710.97,1.2432,526.32,710.97,550.46,0.7403,0.7742,550.46,0.7742,210.0,0.2376,381.0,0.431,459.92,180.62,0.6469,0.2541,387.41,0.5449,0.7038,0.9561,1.3586,0.7742,0.5449,0.5421,237.61,0.2688,318.9,66.37,0.4486,18.5,0.2953,0.2197,0.8787,141.76,0.1067,0.4446,146.5,0.2541,0.0999,0.0019,0.1785,0.3486,0.002,0.4689,0.5745,warning,True,0.7833,0.2612,0.026,0.0591
sampleimg/Heart/heart (263).jpg,Heart,heart,heart,하트형,True,0.7396,high,0.5634,False,long,0.1762,,,350.52,292.17,1.1997,228.18,292.17,232.11,0.781,0.7944,232.11,0.7944,96.5,0.2753,143.0,0.408,199.02,80.02,0.6812,0.2739,169.07,0.5787,0.7284,0.9831,1.3496,0.7944,0.5787,0.5708,101.04,0.2883,141.29,26.02,0.4836,10.0,0.3086,0.1631,0.9076,145.47,0.1108,0.3794,140.3,0.2739,0.089,0.0029,0.0547,0.1762,0.0266,0.7396,0.7775,good,True,0.715,0.8712,0.0342,0.0103
sampleimg/Heart/heart (134).jpg,Heart,heart,heart,하트형,True,0.7477,high,0.5733,False,oval,0.1744,,,1013.26,817.71,1.2391,608.4,817.71,604.74,0.744,0.7396,604.74,0.7396,233.0,0.23,461.0,0.455,510.32,184.27,0.6241,0.2254,427.52,0.5228,0.7069,1.006,1.4231,0.7396,0.5228,0.545,260.32,0.2569,388.87,158.26,0.4756,33.5,0.2864,0.0887,0.8848,142.34,0.1052,0.4392,146.15,0.2254,0.0501,0.0002,0.1744,0.0777,0.0,0.7477,0.685,warning,True,0.6583,0.725,0.041,0.022
sampleimg/Heart/heart (437).jpg,Heart,heart,heart,하트형,True,0.8174,high,0.6443,False,oval,0.1731,,,205.16,177.1,1.1584,134.09,177.1,131.1,0.7572,0.7402,131.1,0.7402,50.5,0.2462,82.0,0.3997,112.07,40.05,0.6328,0.2261,89.05,0.5028,0.6793,1.0229,1.5058,0.7402,0.5028,0.5671,59.03,0.2878,73.03,15.03,0.4123,0.5,0.3072,0.1336,0.8982,144.51,0.1034,0.3851,140.81,0.2261,0.0282,0.0044,0.1731,0.005,0.0001,0.8174,0.873,good,True,0.9767,0.7175,0.0028,0.0226
sampleimg/Heart/heart (585).jpg,Heart,heart,square,사각형,False,0.4515,high,0.2334,False,oval,0.218,,,193.15,160.02,1.207,114.98,160.02,131.64,0.7186,0.8227,131.64,0.8227,44.5,0.2304,81.0,0.4194,105.57,39.2,0.6598,0.245,90.45,0.5653,0.6871,0.8734,1.2712,0.8227,0.5653,0.492,53.15,0.2752,73.55,10.05,0.4597,8.5,0.3019,0.2149,0.8496,134.31,0.147,0.3521,142.72,0.245,0.1562,0.0579,0.218,0.1158,0.4515,0.1568,0.391,low,False,0.5575,0.1413,0.0531,0.0687
sampleimg/Heart/heart (99).jpg,Heart,heart,heart,하트형,True,0.6084,high,0.2458,False,oval,0.3625,,,259.43,216.19,1.2,164.15,216.19,163.11,0.7593,0.7545,163.11,0.7545,57.0,0.2197,102.0,0.3932,146.17,56.04,0.6761,0.2592,108.07,0.4999,0.6626,1.0064,1.5189,0.7545,0.4999,0.5274,73.06,0.2816,97.05,0.0,0.4489,1.0,0.3087,0.3199,0.8983,139.59,0.1183,0.4086,143.13,0.2592,0.037,0.0142,0.3625,0.0133,0.0016,0.6084,0.815,good,True,0.9617,0.595,0.0046,0.0324
sampleimg/Heart/heart (784).jpg,Heart,heart,heart,하트형,True,0.921,high,0.8564,False,long,0.0645,,,372.34,301.24,1.236,233.02,301.24,228.97,0.7735,0.7601,228.97,0.7601,101.5,0.2726,155.0,0.4163,201.2,84.21,0.6679,0.2796,162.12,0.5382,0.708,1.0177,1.4374,0.7601,0.5382,0.6261,105.93,0.2845,111.0,1.0,0.3685,76.5,0.3064,0.3007,0.913,139.43,0.1198,0.3867,148.76,0.2796,0.415,0.0,0.0144,0.0645,0.0,0.921,0.2505,low,False,0.0,0.6262,0.254,0.0299
sampleimg/Heart/heart (620).jpg,Heart,heart,heart,하트형,True,0.4646,medium,0.0757,False,long,0.389,,,366.9,289.25,1.2684,211.05,289.25,223.3,0.7296,0.772,223.3,0.772,80.0,0.218,179.0,0.4879,176.03,64.28,0.6086,0.2222,162.1,0.5604,0.7259,0.9451,1.302,0.772,0.5604,0.4935,88.29,0.2407,122.05,58.46,0.422,45.5,0.2769,0.0997,0.869,138.65,0.106,0.4797,156.04,0.2222,0.1763,0.0005,0.1441,0.389,0.0018,0.4646,0.0715,low,False,0.0,0.1788,0.1573,0.0657
sampleimg/Heart/heart (449).jpg,Heart,heart,heart,하트형,True,0.572,high,0.3398,False,oval,0.2322,,,705.64,583.11,1.2101,418.53,583.11,466.72,0.7177,0.8004,466.72,0.8004,167.0,0.2367,316.0,0.4478,368.66,146.03,0.6322,0.2504,324.58,0.5566,0.6955,0.8967,1.2894,0.8004,0.5566,0.5145,181.22,0.2568,284.45,58.08,0.4878,65.0,0.2813,0.1785,0.8569,143.45,0.1267,0.3812,135.46,0.2504,0.1509,0.0133,0.2322,0.17,0.0125,0.572,0.254,low,False,0.0708,0.5288,0.1115,0.0377
sampleimg/Heart/heart (771).jpg,Heart,heart,long,긴형,False,0.3499,low,0.0134,True,oval,0.3365,,,240.75,194.83,1.2357,140.6,194.83,155.72,0.7217,0.7993,155.72,0.7993,52.5,0.2181,98.0,0.4071,129.65,51.24,0.6655,0.263,106.47,0.5465,0.6837,0.9029,1.3206,0.7993,0.5465,0.4931,69.26,0.2877,91.55,9.0,0.4699,4.0,0.3129,0.2139,0.8611,137.18,0.1416,0.3821,140.58,0.263,0.0205,0.0754,0.3365,0.3499,0.0738,0.1644,0.564,warning,True,0.8292,0.1663,0.0205,0.0667
sampleimg/Heart/heart (2).jpg,Heart,heart,long,긴형,False,0.8349,high,0.7219,False,heart,0.113,,,195.48,154.06,1.2689,113.14,154.06,123.49,0.7344,0.8016,123.49,0.8016,49.5,0.2532,75.0,0.3837,104.81,40.31,0.6803,0.2617,84.21,0.5466,0.6819,0.9162,1.3434,0.8016,0.5466,0.5878,58.0,0.2967,77.78,9.06,0.5049,23.5,0.3076,0.1929,0.8721,136.11,0.153,0.3274,142.24,0.2617,0.3051,0.0002,0.0483,0.8349,0.0036,0.113,0.0,low,False,0.0,0.0,0.1525,0.0844
sampleimg/Heart/heart (962).jpg,Heart,heart,heart,하트형,True,0.6605,high,0.3622,False,oval,0.2982,,,176.03,152.0,1.158,115.0,152.0,112.0,0.7566,0.7368,112.0,0.7368,43.0,0.2443,69.0,0.392,99.0,38.01,0.6513,0.2501,78.01,0.5132,0.6965,1.0268,1.4743,0.7368,0.5132,0.5512,50.0,0.284,52.01,0.0,0.3422,2.0,0.3125,0.2552,0.9013,146.45,0.0966,0.3977,141.98,0.2501,0.0263,0.0216,0.2982,0.0192,0.0005,0.6605,0.934,good,True,0.89,1.0,0.0132,0.0
